f0,f1,f2,f3,f4,f5,f6,f7,target
0.12573,-0.13210,0.64042,0.10490,-0.53567,0.36160,1.30400,0.94708,1
-0.70374,-1.26542,-0.62327,0.04133,-2.32503,-0.21879,-1.24591,-0.73227,0
-0.54426,-0.31630,0.41163,1.04251,-0.12853,1.36646,-0.66519,0.35151,0
0.90347,0.09401,-0.74350,-0.92173,-0.45773,0.22020,-1.00962,-0.20918,1
-0.15923,0.54085,0.21466,0.35537,-0.65383,-0.12961,0.78398,1.49343,0
-1.25907,1.51392,1.34588,0.78131,0.26446,-0.31392,1.45802,1.96026,0
1.80163,1.31510,0.35738,-1.20832,-0.00445,0.65647,-1.28836,0.39512,1
0.42986,0.69604,-1.18412,-0.66170,-0.43644,-1.16980,1.73937,-0.49591,1
0.32897,-0.25857,1.58347,1.32036,0.63335,-2.20351,0.05203,0.68369,1
1.00396,-0.61791,1.82201,-1.32043,-0.66153,0.93505,0.04905,2.00239,1
0.18852,-0.63319,-0.37756,-1.09115,-1.27768,0.63041,0.58117,1.29456,1
-0.75461,1.68911,-0.28739,1.57441,-0.43279,-0.73548,0.24979,1.03145,0
0.16101,-0.58553,-1.34122,-1.40152,0.50268,0.98971,-0.16429,-1.07436,1
0.87304,-1.28039,-0.71307,0.62102,-2.25014,0.38637,-0.58164,0.10928,1
-0.07570,0.20211,0.69417,-0.75837,1.42098,0.72609,0.84373,1.16486,0
0.78759,0.84408,0.07559,-1.42677,-0.13505,-0.76951,-1.42274,0.25845,1
-0.56855,-1.02980,-1.04300,0.26842,0.35867,1.32246,-0.01391,1.04184,1
1.40226,1.15017,-2.36530,1.22868,0.33962,0.42377,0.37123,0.38276,1
0.31941,-0.35891,-1.90164,-0.10891,-0.80373,1.08016,-0.28877,0.08348,1
-0.84961,-0.51062,-0.01153,-1.48538,0.30069,-0.10607,-1.18572,-2.39823,0
0.51305,-0.29758,-0.53001,-0.23615,1.81648,-0.04980,0.08662,-1.48707,1
1.64734,0.91749,1.06693,0.04767,0.91665,0.37095,0.61319,-0.15219,1
-1.47389,1.02885,-1.93496,-0.23994,-0.20452,-1.04286,0.61312,-0.20033,1
-0.43687,0.51984,-0.47658,1.38898,0.35146,-0.47433,-1.94426,-1.30775,0
1.08683,-0.05060,-0.28313,1.64325,-1.28265,-0.58566,-0.47259,0.58634,1
-0.66354,-0.61342,-1.60515,0.72935,0.80614,-0.47638,0.16334,-1.29265,1
-0.47181,1.37795,0.13573,2.31036,-0.78719,0.58028,-0.19551,0.56582,0
